latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
62.3184,5.7257843,0.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),snowfall (cm),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),soil_temperature_0cm (°C)
2023-07-01T00:00,11.9,87,0.00,0.00,3.6,108,5.4,12.6
2023-07-01T01:00,11.6,88,0.00,0.00,4.0,116,6.1,12.4
2023-07-01T02:00,11.2,87,0.00,0.00,4.0,105,5.4,12.3
2023-07-01T03:00,11.3,88,0.00,0.00,4.3,106,6.5,12.4
2023-07-01T04:00,12.0,86,0.00,0.00,3.2,92,6.1,13.0
2023-07-01T05:00,12.8,81,0.00,0.00,3.2,73,6.1,13.8
2023-07-01T06:00,14.3,72,0.00,0.00,3.2,56,7.6,14.4
2023-07-01T07:00,15.5,73,0.00,0.00,7.2,16,14.8,15.0
2023-07-01T08:00,16.6,71,0.00,0.00,11.9,18,22.3,15.5
2023-07-01T09:00,17.6,71,0.00,0.00,17.3,20,29.9,16.1
2023-07-01T10:00,17.7,71,0.00,0.00,19.8,19,33.8,16.6
2023-07-01T11:00,18.4,70,0.00,0.00,23.0,21,38.9,17.0
2023-07-01T12:00,18.1,70,0.00,0.00,23.8,21,40.0,17.2
2023-07-01T13:00,18.5,72,0.00,0.00,24.8,22,41.4,17.4
2023-07-01T14:00,18.6,73,0.00,0.00,24.1,20,41.4,17.3
2023-07-01T15:00,18.5,74,0.00,0.00,24.5,21,41.0,17.3
2023-07-01T16:00,18.2,75,0.00,0.00,23.0,21,40.7,17.0
2023-07-01T17:00,17.6,76,0.00,0.00,21.6,18,38.2,16.6
2023-07-01T18:00,16.8,79,0.00,0.00,21.2,20,37.1,16.3
2023-07-01T19:00,16.3,82,0.00,0.00,19.4,20,34.6,15.7
2023-07-01T20:00,15.5,86,0.00,0.00,14.4,13,31.7,15.1
2023-07-01T21:00,14.8,88,0.00,0.00,11.9,4,24.1,14.3
2023-07-01T22:00,14.1,90,0.00,0.00,7.2,329,19.1,13.5
2023-07-01T23:00,13.9,92,0.00,0.00,5.8,339,11.2,13.1
2023-07-02T00:00,13.8,94,0.00,0.00,2.9,53,8.3,13.0
2023-07-02T01:00,13.5,94,0.00,0.00,6.1,60,8.3,13.1
2023-07-02T02:00,13.1,91,0.00,0.00,5.4,64,8.6,13.0
2023-07-02T03:00,12.9,87,0.00,0.00,5.8,96,7.9,13.2
2023-07-02T04:00,13.5,75,0.00,0.00,6.1,122,8.6,13.8
2023-07-02T05:00,14.2,72,0.00,0.00,4.7,73,8.6,14.7
2023-07-02T06:00,15.7,66,0.00,0.00,1.8,358,5.0,15.0
2023-07-02T07:00,17.5,59,0.00,0.00,2.2,300,6.8,15.8
2023-07-02T08:00,18.9,55,0.00,0.00,10.8,293,19.8,16.5
2023-07-02T09:00,19.5,57,0.00,0.00,16.6,289,28.4,17.1
2023-07-02T10:00,19.7,62,0.00,0.00,18.7,289,31.3,17.5
2023-07-02T11:00,19.3,73,0.00,0.00,21.2,286,35.3,17.7
2023-07-02T12:00,18.5,78,0.00,0.00,27.4,287,43.6,18.0
2023-07-02T13:00,17.2,83,0.00,0.00,24.1,290,43.9,17.7
2023-07-02T14:00,18.3,83,0.00,0.00,20.9,296,39.2,17.9
2023-07-02T15:00,18.2,82,0.00,0.00,23.0,291,37.8,17.5
2023-07-02T16:00,18.3,83,0.00,0.00,21.2,296,37.1,17.2
2023-07-02T17:00,18.1,85,0.00,0.00,20.9,291,35.3,16.8
2023-07-02T18:00,17.1,86,0.00,0.00,18.7,292,37.8,16.5
2023-07-02T19:00,16.7,87,0.00,0.00,15.5,290,30.2,15.9
2023-07-02T20:00,15.7,88,0.00,0.00,12.2,292,24.8,15.5
2023-07-02T21:00,15.0,91,0.00,0.00,13.3,296,23.4,15.1
2023-07-02T22:00,14.8,92,0.00,0.00,12.6,294,20.9,14.9
2023-07-02T23:00,14.9,92,0.00,0.00,11.9,291,19.4,14.9
2023-07-03T00:00,15.0,90,0.00,0.00,12.2,292,20.2,14.9
2023-07-03T01:00,14.7,90,0.00,0.00,9.7,290,19.4,14.8
2023-07-03T02:00,14.5,91,0.00,0.00,9.0,293,15.5,14.7
2023-07-03T03:00,14.7,89,0.00,0.00,6.1,289,12.6,14.7
2023-07-03T04:00,14.7,88,0.00,0.00,7.9,287,13.7,14.6
2023-07-03T05:00,14.5,89,0.00,0.00,10.1,291,16.6,14.7
2023-07-03T06:00,14.2,95,0.40,0.00,10.4,297,18.0,14.6
2023-07-03T07:00,14.4,95,2.60,0.00,9.7,295,16.2,14.8
2023-07-03T08:00,13.9,95,0.70,0.00,10.8,295,16.6,14.8
2023-07-03T09:00,13.8,93,0.50,0.00,9.4,15,16.6,15.2
2023-07-03T10:00,14.0,92,0.10,0.00,7.6,16,18.4,15.2
2023-07-03T11:00,14.1,92,0.10,0.00,13.7,21,22.0,15.3
2023-07-03T12:00,13.6,82,0.20,0.00,17.3,27,28.8,15.2
2023-07-03T13:00,13.1,80,0.00,0.00,18.0,28,29.5,15.1
2023-07-03T14:00,12.7,77,0.00,0.00,16.2,23,29.2,15.1
2023-07-03T15:00,12.9,76,0.00,0.00,14.8,19,25.6,15.1
2023-07-03T16:00,13.2,76,0.00,0.00,15.1,17,25.2,14.9
2023-07-03T17:00,13.3,78,0.00,0.00,15.5,17,25.9,14.7
2023-07-03T18:00,13.7,77,0.00,0.00,15.1,20,26.3,14.5
