time,temperature_2m (°C),rain (mm),snowfall (cm),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),soil_temperature_0cm (°C)
2023-07-01T00:00,12.0,0.00,0.00,11.9,13,20.9,12.9
2023-07-01T01:00,11.9,0.00,0.00,15.1,9,24.5,12.9
2023-07-01T02:00,11.8,0.00,0.00,17.6,15,28.8,12.9
2023-07-01T03:00,12.0,0.00,0.00,16.6,5,27.0,12.9
2023-07-01T04:00,12.3,0.00,0.00,17.6,1,28.8,13.4
2023-07-01T05:00,12.6,0.00,0.00,17.3,2,29.5,14.0
2023-07-01T06:00,13.9,0.00,0.00,12.2,10,25.9,14.4
2023-07-01T07:00,15.4,0.00,0.00,13.0,20,23.0,15.9
2023-07-01T08:00,16.7,0.00,0.00,13.7,33,24.5,17.0
2023-07-01T09:00,17.2,0.00,0.00,13.3,11,24.5,18.8
2023-07-01T10:00,18.0,0.00,0.00,16.9,5,29.9,19.4
2023-07-01T11:00,18.2,0.00,0.00,20.9,9,36.0,19.4
2023-07-01T12:00,18.5,0.00,0.00,21.2,11,36.7,19.6
2023-07-01T13:00,19.0,0.00,0.00,21.2,17,37.1,19.7
2023-07-01T14:00,19.3,0.00,0.00,23.4,19,39.6,19.7
2023-07-01T15:00,19.3,0.00,0.00,21.2,19,37.1,19.4
2023-07-01T16:00,20.7,0.00,0.00,21.2,15,37.1,18.8
2023-07-01T17:00,19.8,0.00,0.00,18.7,17,36.0,17.8
2023-07-01T18:00,18.9,0.00,0.00,16.6,10,33.8,17.3
2023-07-01T19:00,18.4,0.00,0.00,12.2,13,27.7,16.5
2023-07-01T20:00,18.5,0.00,0.00,11.5,5,19.8,15.7
2023-07-01T21:00,17.6,0.00,0.00,6.1,65,16.9,14.8
2023-07-01T22:00,16.9,0.00,0.00,6.8,100,12.2,14.3
2023-07-01T23:00,16.4,0.00,0.00,8.6,90,13.0,14.1
2023-07-02T00:00,16.3,0.00,0.00,8.3,92,11.9,14.1
2023-07-02T01:00,16.4,0.00,0.00,8.3,94,12.2,13.7
2023-07-02T02:00,16.7,0.00,0.00,7.6,107,11.9,13.9
2023-07-02T03:00,16.6,0.00,0.00,6.1,97,10.4,14.8
2023-07-02T04:00,17.2,0.00,0.00,5.8,120,9.4,15.4
2023-07-02T05:00,17.8,0.00,0.00,3.6,120,9.0,15.8
2023-07-02T06:00,18.0,0.00,0.00,2.9,172,7.2,17.1
2023-07-02T07:00,17.0,0.00,0.00,3.2,162,8.3,16.5
2023-07-02T08:00,16.9,0.00,0.00,7.2,340,13.0,17.0
2023-07-02T09:00,17.6,0.00,0.00,11.5,357,19.4,17.5
2023-07-02T10:00,16.9,0.00,0.00,15.1,9,25.2,17.7
2023-07-02T11:00,17.3,0.10,0.00,13.3,7,25.6,17.3
2023-07-02T12:00,19.0,0.10,0.00,9.0,58,23.0,18.5
2023-07-02T13:00,19.0,0.00,0.00,12.2,52,25.2,19.0
2023-07-02T14:00,18.9,0.00,0.00,11.5,62,25.6,18.6
2023-07-02T15:00,19.3,0.00,0.00,8.6,80,21.2,18.5
2023-07-02T16:00,19.2,0.00,0.00,5.8,106,18.4,18.2
2023-07-02T17:00,18.6,0.00,0.00,5.0,171,14.0,17.7
2023-07-02T18:00,17.0,0.10,0.00,6.5,316,11.9,16.9
2023-07-02T19:00,15.9,0.00,0.00,8.6,54,14.4,16.0
2023-07-02T20:00,15.1,0.00,0.00,15.8,72,26.3,15.2
2023-07-02T21:00,14.3,0.00,0.00,15.8,70,26.3,14.5
2023-07-02T22:00,13.7,0.00,0.00,14.4,72,26.3,13.9
2023-07-02T23:00,13.1,0.00,0.00,12.2,77,23.8,13.4
2023-07-03T00:00,12.8,0.00,0.00,12.2,74,24.8,13.2
2023-07-03T01:00,12.4,0.00,0.00,13.7,67,23.0,12.9
2023-07-03T02:00,12.4,0.00,0.00,14.0,76,24.1,12.8
2023-07-03T03:00,12.3,0.00,0.00,13.7,77,24.1,12.9
2023-07-03T04:00,12.7,0.00,0.00,12.2,75,23.0,13.0
2023-07-03T05:00,12.8,0.00,0.00,8.6,86,20.2,13.3
2023-07-03T06:00,12.7,0.00,0.00,8.3,110,16.2,13.4
2023-07-03T07:00,13.9,0.00,0.00,9.4,108,17.3,14.2
2023-07-03T08:00,14.9,0.00,0.00,9.4,104,17.6,15.0
2023-07-03T09:00,14.8,0.60,0.00,12.2,106,20.9,15.3
2023-07-03T10:00,14.3,0.00,0.00,18.0,128,31.0,15.3
2023-07-03T11:00,13.7,1.10,0.00,14.8,165,33.8,15.8
2023-07-03T12:00,12.8,2.80,0.00,4.7,214,25.9,16.1
2023-07-03T13:00,12.7,0.00,0.00,2.2,100,8.3,15.7
2023-07-03T14:00,13.8,0.00,0.00,19.1,156,34.9,15.0
2023-07-03T15:00,15.5,0.00,0.00,6.5,164,16.2,15.2
2023-07-03T16:00,15.6,0.00,0.00,7.9,95,15.5,15.0
2023-07-03T17:00,15.4,0.10,0.00,9.7,129,23.8,14.8
2023-07-03T18:00,15.5,0.00,0.00,9.7,86,16.9,15.0
2023-07-03T19:00,15.7,0.00,0.00,7.9,102,16.9,14.8
2023-07-03T20:00,15.5,0.00,0.00,6.1,101,13.0,14.2
2023-07-03T21:00,14.8,0.00,0.00,5.4,81,9.4,13.5
2023-07-03T22:00,14.4,0.00,0.00,4.3,93,9.4,13.1
2023-07-03T23:00,13.8,0.00,0.00,6.8,92,10.1,12.8
2023-07-04T00:00,13.4,0.00,0.00,6.8,135,10.1,12.3
2023-07-04T01:00,13.2,0.00,0.00,5.0,203,9.7,12.1
2023-07-04T02:00,12.7,0.00,0.00,2.5,158,7.2,12.2
2023-07-04T03:00,12.8,0.00,0.00,1.1,269,3.6,12.8
2023-07-04T04:00,14.0,0.00,0.00,1.8,280,3.2,13.8
2023-07-04T05:00,14.2,0.00,0.00,5.0,318,9.7,14.5
2023-07-04T06:00,14.7,0.00,0.00,5.0,335,12.2,15.3
2023-07-04T07:00,16.1,0.00,0.00,7.2,328,14.8,16.1
2023-07-04T08:00,16.8,0.00,0.00,8.6,312,17.3,16.4
2023-07-04T09:00,17.0,0.00,0.00,11.2,308,22.3,16.4
2023-07-04T10:00,17.1,0.00,0.00,11.9,305,23.0,16.9
2023-07-04T11:00,17.7,0.00,0.00,12.6,305,24.8,16.9
2023-07-04T12:00,17.3,0.00,0.00,14.4,320,27.4,18.0
2023-07-04T13:00,16.7,0.00,0.00,15.5,330,28.4,18.3
2023-07-04T14:00,16.1,0.00,0.00,16.2,335,29.2,17.5
2023-07-04T15:00,16.1,0.00,0.00,14.8,334,30.2,17.2
2023-07-04T16:00,14.8,0.00,0.00,14.0,328,27.4,16.6
2023-07-04T17:00,13.7,0.00,0.00,14.8,321,25.9,15.9
2023-07-04T18:00,13.0,0.00,0.00,14.8,311,26.3,15.2
2023-07-04T19:00,12.4,0.00,0.00,14.0,306,25.6,14.5
2023-07-04T20:00,12.1,0.00,0.00,15.1,295,25.6,13.8
2023-07-04T21:00,11.8,0.00,0.00,15.1,298,25.6,13.1
2023-07-04T22:00,11.6,0.00,0.00,14.8,295,25.6,12.7
2023-07-04T23:00,11.5,0.00,0.00,14.0,293,24.8,12.4
2023-07-05T00:00,11.4,0.00,0.00,14.0,284,23.0,12.3
2023-07-05T01:00,11.2,0.00,0.00,13.3,287,23.8,12.0
2023-07-05T02:00,11.0,0.00,0.00,13.0,292,22.3,12.0
2023-07-05T03:00,11.3,0.00,0.00,13.0,288,22.0,12.2
2023-07-05T04:00,11.8,0.00,0.00,13.7,290,23.4,12.6
2023-07-05T05:00,12.4,0.00,0.00,14.0,290,24.8,13.2
2023-07-05T06:00,13.0,0.00,0.00,14.0,287,25.9,13.7
2023-07-05T07:00,13.6,0.00,0.00,13.3,293,25.6,15.1
2023-07-05T08:00,14.4,0.00,0.00,14.0,297,26.3,14.5
2023-07-05T09:00,14.7,0.00,0.00,12.6,304,25.9,16.4
2023-07-05T10:00,16.1,0.00,0.00,12.6,289,25.6,17.0
2023-07-05T11:00,16.6,0.00,0.00,11.2,292,25.2,17.5
2023-07-05T12:00,16.6,0.00,0.00,9.4,302,22.0,17.6
2023-07-05T13:00,16.5,0.00,0.00,9.4,297,22.0,17.7
2023-07-05T14:00,16.5,0.00,0.00,10.4,290,23.0,17.8
2023-07-05T15:00,16.6,0.00,0.00,9.7,295,21.6,17.7
2023-07-05T16:00,16.6,0.00,0.00,10.1,299,22.0,17.0
2023-07-05T17:00,16.0,0.00,0.00,10.1,317,22.0,16.3
2023-07-05T18:00,16.0,0.00,0.00,9.4,333,20.2,15.7
2023-07-05T19:00,15.1,0.00,0.00,9.0,343,18.7,14.6
2023-07-05T20:00,13.9,0.00,0.00,9.0,352,16.9,13.7
2023-07-05T21:00,13.1,0.00,0.00,7.2,9,14.0,12.5
2023-07-05T22:00,12.3,0.00,0.00,5.0,24,11.5,11.9
2023-07-05T23:00,11.2,0.00,0.00,4.7,42,7.9,11.4
2023-07-06T00:00,10.7,0.00,0.00,3.6,51,6.8,11.0
2023-07-06T01:00,10.8,0.00,0.00,5.8,34,8.6,10.8
2023-07-06T02:00,10.7,0.00,0.00,6.5,55,9.7,10.9
2023-07-06T03:00,10.5,0.00,0.00,7.9,52,13.3,11.6
2023-07-06T04:00,11.9,0.00,0.00,10.8,52,18.4,12.5
2023-07-06T05:00,12.6,0.00,0.00,13.0,34,23.0,13.4
2023-07-06T06:00,13.7,0.00,0.00,13.3,30,24.8,14.6
2023-07-06T07:00,14.7,0.00,0.00,14.0,25,25.9,15.6
2023-07-06T08:00,15.3,0.00,0.00,16.6,20,30.6,16.7
2023-07-06T09:00,15.6,0.00,0.00,20.5,9,36.4,17.8
2023-07-06T10:00,16.1,0.00,0.00,22.0,7,38.5,18.5
2023-07-06T11:00,16.1,0.00,0.00,23.0,6,40.0,19.0
2023-07-06T12:00,16.3,0.00,0.00,22.3,9,39.6,19.2
2023-07-06T13:00,16.8,0.00,0.00,22.0,9,39.2,19.2
2023-07-06T14:00,17.2,0.00,0.00,21.6,10,38.5,19.1
2023-07-06T15:00,17.3,0.00,0.00,25.9,11,38.9,18.5
2023-07-06T16:00,17.0,0.00,0.00,26.3,11,37.8,18.0
2023-07-06T17:00,16.3,0.00,0.00,25.2,10,37.4,17.4
2023-07-06T18:00,16.0,0.00,0.00,19.1,9,34.2,16.7
2023-07-06T19:00,16.9,0.00,0.00,16.9,6,32.0,15.8
2023-07-06T20:00,16.0,0.00,0.00,14.0,360,28.1,14.8
2023-07-06T21:00,14.5,0.00,0.00,11.2,357,25.6,13.9
2023-07-06T22:00,13.2,0.00,0.00,11.2,348,18.0,13.2
2023-07-06T23:00,12.4,0.00,0.00,11.5,342,18.4,12.6
2023-07-07T00:00,11.7,0.00,0.00,11.2,345,19.1,12.3
2023-07-07T01:00,11.3,0.00,0.00,9.7,346,18.4,12.0
2023-07-07T02:00,11.4,0.00,0.00,8.6,346,15.1,12.1
2023-07-07T03:00,12.3,0.00,0.00,7.9,349,15.5,12.9
2023-07-07T04:00,13.5,0.00,0.00,6.8,342,12.6,14.0
2023-07-07T05:00,14.5,0.00,0.00,7.6,347,13.7,14.7
2023-07-07T06:00,15.0,0.00,0.00,8.3,342,16.2,15.4
